,model,unweighted_mean,class_mean,FoldingChair,Kettle,Laptop,Microwave,Refrigerator,Stapler,StorageFurniture,Switch,Toilet,TrashCan,Window
cos_dist,flowbot,0.9680401895217553,0.9598320748731574,0.9574605487287045,0.9976523612674913,0.985167945132536,0.932134822010994,0.9588789741198221,0.9205288466285256,0.9779792968043708,0.9902969747781754,0.9757658791542053,0.8582387347431744,0.9958403255881333
cos_dist,traj1,0.9762199001159972,0.9726280970180085,0.9633016400039196,0.9975911190635279,0.9881376133245581,0.9533586874604225,0.9591172247221975,0.9537845849990845,0.9799407306022214,0.9928835704922676,0.9789065504074097,0.9299608837155735,0.998334659308922
cos_dist,traj5,0.9781338164430416,0.9718895799189603,0.9704146832227707,0.9985770018477189,0.9857933012878194,0.9545119106769562,0.9588253552263434,0.9438847268328947,0.9841035945074899,0.9786169305443764,0.9797489547729492,0.9316811456399805,0.9983835380251814
cos_dist,traj10,0.9760925048839546,0.968847996033427,0.9590490981936455,0.9976471788004825,0.9845134125036352,0.9488256573677063,0.9628063548694957,0.9454934456769157,0.9848066411520305,0.9919100776314735,0.9800854301452637,0.8966531017247368,0.9982930494517814
cos_dist,traj15,0.9767426917414941,0.9688329507082075,0.958291545510292,0.9961389961995577,0.9855106998892391,0.9401793107390404,0.9589427510897318,0.9467775225639343,0.9845670165872216,0.9882709830999374,0.9715689897537232,0.9213948600432452,0.9976100412810721
cos_dist,traj20,0.9288523541224336,0.9166974026080515,0.8643413744866848,0.8991277155123258,0.9687589950421277,0.9291588291525841,0.8998120323275075,0.8642124428468592,0.9419941165085349,0.9533784314990044,0.9569174480438233,0.854451662477325,0.9393634292774085
rmse,flowbot,0.05396879708279155,0.05806217779754691,0.06334380456246436,0.031433208992606716,0.04212552325471359,0.06589578930288553,0.06491797428691026,0.05122756848440451,0.04874250179601315,0.055065039778128266,0.06182832345366478,0.14039943058399812,0.017798171991982113
rmse,traj1,0.04532653824454118,0.049454574766131854,0.05772749031893909,0.025078927558895788,0.042516281937851626,0.06264831125736237,0.0596515109593218,0.04568733614595497,0.04122433690284204,0.047328361542895436,0.050282860174775124,0.10573444304549519,0.010248499104707706
rmse,traj5,0.043398330925486076,0.05039334995142757,0.056121258763596416,0.016835597172183425,0.03729904875816668,0.061274753883481026,0.05866921551977143,0.04636009519591051,0.03787005616131386,0.0788469003746286,0.05008038476109505,0.10722724957775105,0.010737308323746773
rmse,traj10,0.04703568459252368,0.05354079537991512,0.07084392593242228,0.013663858493888065,0.05450904692577965,0.06473779701627791,0.06025385015615911,0.06515382537070442,0.038685095428202046,0.037386208365205675,0.052945336997509,0.11952431510914774,0.01775060017116186
rmse,traj15,0.047383968716955736,0.054179671216585214,0.0613793209195137,0.030510357777146918,0.04133864541483276,0.0610269361641258,0.05820768270077127,0.056873772074194515,0.04029413586380871,0.05884277867153287,0.05797453835606575,0.11878016523962073,0.01754375270045385
rmse,traj20,0.11719666964220192,0.13130406299655892,0.14963879622519016,0.14451285030104613,0.08448796291999958,0.12512810714542866,0.14429910672885,0.10695113548461128,0.10168619195517517,0.15524062677286565,0.14338808625936508,0.16873302579145222,0.13438619673252106
mag_error,flowbot,0.0342042648164693,0.035796415043052573,0.045909256557933986,0.012327403344802167,0.026341840186539817,0.0459749405272305,0.042094751063621406,0.032751513864187634,0.0319794096342372,0.026270445145200938,0.035704662203788755,0.08385685797410962,0.012141635198509547
mag_error,traj1,0.03341748084716811,0.03483346258338068,0.039596191491000354,0.01846531852099456,0.02690857944681364,0.04647847218438983,0.038810082683057495,0.030761959798195782,0.03205015881099087,0.027900840155780315,0.037835746482014654,0.07770227227250442,0.008074448307658114
mag_error,traj5,0.03259029455806878,0.03559858883225623,0.040456175804138184,0.012270841894573286,0.027715552050401184,0.04115363163873553,0.03747239353304559,0.03246478068039698,0.02998364430828601,0.04642094240989536,0.035913819596171376,0.08257118592668763,0.0081698035866749
mag_error,traj10,0.03623627690912527,0.04029903250323804,0.05180641473270953,0.007074277707081484,0.043181879555477816,0.049013886135071516,0.04185729688315681,0.052781547912779975,0.03017217041688264,0.02163777285022661,0.03937403663992882,0.09423253687975161,0.016220293416664366
mag_error,traj15,0.03492144737792333,0.038187887048441164,0.041925413301214576,0.020521613573165315,0.030772057635819212,0.041922778356820345,0.03870624066753821,0.041174291797420555,0.030828986063081407,0.035331769729964435,0.03873566888272762,0.0879312658764641,0.015483111319154865
mag_error,traj20,0.07300817026773435,0.0803015330505903,0.08928638487122953,0.11237564278570444,0.050210323129944945,0.07952377945184708,0.08680602806535634,0.06155266086844837,0.06664356710459281,0.08370268938597292,0.09820157267153264,0.10677454708253636,0.0555330309221839
